fit,source,arm,seed,lr,trainable_parameters,optimizer_seconds,validation_seconds,peak_allocated,peak_reserved
ettm1_F0_MAG_s81551_lr0.0003,ettm1,F0_MAG,81551,0.0003,8712,29.67911008768715,4.41079217789229,378519552,398458880
ettm1_F0_PLAIN_s81550_lr0.0003,ettm1,F0_PLAIN,81550,0.0003,8712,30.084599502559286,4.570005104062147,378519552,398458880
electricity_F0_MAG_s81551_lr0.0003,electricity,F0_MAG,81551,0.0003,8712,29.804840448894538,4.481474095140584,378519552,398458880
electricity_F0_MAG_s81550_lr0.0001,electricity,F0_MAG,81550,0.0001,8712,30.33593241183553,4.4846067791222595,378519552,398458880
electricity_F0_PLAIN_s81551_lr0.0003,electricity,F0_PLAIN,81551,0.0003,8712,30.229535371647216,4.49622602108866,377864192,398458880
electricity_F0_PLAIN_s81550_lr0.0001,electricity,F0_PLAIN,81550,0.0001,8712,30.245451223105192,4.460272354015615,378519552,398458880
ettm1_F0_PLAIN_s81550_lr0.0001,ettm1,F0_PLAIN,81550,0.0001,8712,29.911673321854323,4.68564340705052,378519552,398458880
ettm1_F0_PLAIN_s81551_lr0.0003,ettm1,F0_PLAIN,81551,0.0003,8712,29.48747052892577,4.275808634003624,378519552,398458880
ettm1_F0_MAG_s81550_lr0.0001,ettm1,F0_MAG,81550,0.0001,8712,30.560585787286982,4.702107972058002,378519552,398458880
ettm1_F0_MAG_s81552_lr0.0003,ettm1,F0_MAG,81552,0.0003,8712,29.76996720698662,4.37445657979697,378519552,398458880
electricity_F0_MAG_s81550_lr0.0003,electricity,F0_MAG,81550,0.0003,8712,30.910723691282328,4.774191857082769,378519552,398458880
electricity_F0_PLAIN_s81552_lr0.0003,electricity,F0_PLAIN,81552,0.0003,8712,29.300531228538603,4.4251721919863485,377864192,398458880
ettm1_F0_PLAIN_s81552_lr0.0003,ettm1,F0_PLAIN,81552,0.0003,8712,29.1449121638434,4.292175890994258,378519552,398458880
ettm1_F0_MAG_s81550_lr0.0003,ettm1,F0_MAG,81550,0.0003,8712,30.487284475762863,4.7243396419798955,378519552,398458880
electricity_F0_PLAIN_s81550_lr0.0003,electricity,F0_PLAIN,81550,0.0003,8712,29.804303449112922,4.423701059946325,378519552,398458880
electricity_F0_MAG_s81552_lr0.0003,electricity,F0_MAG,81552,0.0003,8712,29.90403614589013,4.442526436876506,378519552,398458880
