source,arm,seed,condition,origin,channel,history_subset,nmae,mae,normalized_mse,pinball,crossing
electricity,B0,81551,REFERENCE,21068,0,False,0.20288710480659208,4.900922551751137,0.18746843594820276,0.20164782302911954,0.01171875
electricity,B0,81551,REFERENCE,21068,1,False,0.14937119735557172,4.1250035762786865,0.03224893159983411,0.1130036273042116,0.0
electricity,B0,81551,REFERENCE,21068,2,False,0.00531067025694203,0.3334541767835617,9.12287964963152e-05,0.0044012892821161985,0.0
electricity,B0,81551,REFERENCE,21068,3,False,0.1719528653431771,24.372432231903076,0.044466736593033344,0.12810762646824658,0.0
electricity,B0,81551,REFERENCE,21117,0,False,0.11754769012437588,2.8394713699817657,0.05458237649349543,0.10339419309370171,0.001953125
electricity,B0,81551,REFERENCE,21117,1,False,0.20854938655909946,5.75925600528717,0.07531133194563361,0.16427385240166878,0.0
electricity,B0,81551,REFERENCE,21117,2,False,0.010270328353076945,0.6448684856295586,0.0004635316706284472,0.009111453833124129,0.0
electricity,B0,81551,REFERENCE,21117,3,False,0.2004334397157082,28.409241199493408,0.06663051583857608,0.15644796259776636,0.0
electricity,B0,81551,REFERENCE,21147,0,False,0.10766703217071588,2.600795090198517,0.03683442634091694,0.09310961718830718,0.001953125
electricity,B0,81551,REFERENCE,21147,1,False,0.19985337045163531,5.5191086530685425,0.06996951386326535,0.15702858617774682,0.0
electricity,B0,81551,REFERENCE,21147,2,False,0.0097130441995802,0.6098769083619118,0.000485676690379348,0.008647316130079769,0.0
electricity,B0,81551,REFERENCE,21147,3,False,0.18170251608271462,25.754338264465332,0.05398665164982053,0.14484012936488797,0.0
electricity,B0,81551,REFERENCE,21190,0,False,0.5453570700472783,13.173596054315567,1.0386304576559071,0.4976617521859033,0.0
electricity,B0,81551,REFERENCE,21190,1,False,0.15478456021326523,4.274497866630554,0.0417651373394669,0.12288027128779068,0.0
electricity,B0,81551,REFERENCE,21190,2,False,0.004089308801932407,0.25676553696393967,3.666198228185044e-05,0.0034524435793644535,0.0
electricity,B0,81551,REFERENCE,21190,3,False,0.18691884383880542,26.493695497512817,0.06258758064202201,0.1463314477335417,0.0
electricity,B0,81551,REFERENCE,21216,0,True,0.5515567264354281,13.32335439324379,0.9832512691077463,0.48947264849421224,0.00390625
electricity,B0,81551,REFERENCE,21216,1,False,0.13783321636121518,3.806373119354248,0.0304626134061225,0.10676898367701569,0.0
electricity,B0,81551,REFERENCE,21216,2,False,0.00548630217597077,0.34448201209306717,8.60066814225058e-05,0.004453688878537678,0.0
