fit,source,arm,seed,lr,status,updates,optimizer_seconds,validation_seconds,checkpoint_io_seconds,peak_allocated,peak_reserved
ettm1_A0_s81500_lr0.0003,ettm1,A0,81500,0.0003,COMPLETE,1024,35.13049529638374,3.644799678993877,0.41512128623435274,388863488,402653184
electricity_A2_s81500_lr0.0001,electricity,A2,81500,0.0001,COMPLETE,1024,38.40533456177218,4.026488870964386,0.4526747761410661,388929024,402653184
electricity_A4_s81500_lr0.0001,electricity,A4,81500,0.0001,COMPLETE,1024,39.396159766067285,4.1307729270192795,0.4755108769168146,394039296,404750336
ettm1_A3_s81502_lr0.0001,ettm1,A3,81502,0.0001,COMPLETE,1024,38.80076551216189,4.157239314925391,0.4628821030491963,388929024,402653184
ettm1_A2_s81500_lr0.0003,ettm1,A2,81500,0.0003,COMPLETE,1024,37.8661161189666,3.9707326460047625,0.4439481468289159,388929024,402653184
ettm1_A1_s81502_lr0.0001,ettm1,A1,81502,0.0001,COMPLETE,1024,38.24192507768748,3.9726323949871585,0.4506863602437079,388863488,402653184
electricity_A4_s81502_lr0.0001,electricity,A4,81502,0.0001,COMPLETE,1024,39.65780053817434,4.1699022999964654,0.48381489410530776,394039296,404750336
electricity_A3_s81500_lr0.0001,electricity,A3,81500,0.0001,COMPLETE,1024,38.627818682813086,4.1632698539760895,0.45418706903001294,388929024,402653184
electricity_A2_s81502_lr0.0001,electricity,A2,81502,0.0001,COMPLETE,1024,38.830629970354494,4.062900169985369,0.4490305781364441,388929024,402653184
electricity_A3_s81501_lr0.0003,electricity,A3,81501,0.0003,COMPLETE,1024,39.056906480982434,4.165157480048947,0.4654985181405209,388929024,402653184
ettm1_A2_s81501_lr0.0003,ettm1,A2,81501,0.0003,COMPLETE,1024,38.6098422522773,4.037900722003542,0.45768101897556335,388929024,402653184
ettm1_A5_s81502_lr0.0001,ettm1,A5,81502,0.0001,COMPLETE,1024,40.12016908242367,4.2721795060206205,0.4819338549277745,394105856,404750336
ettm1_A0_s81501_lr0.0001,ettm1,A0,81501,0.0001,COMPLETE,1024,38.130767485068645,3.921008053002879,0.44711768301203847,388863488,402653184
electricity_A4_s81501_lr0.0001,electricity,A4,81501,0.0001,COMPLETE,1024,40.11392675578827,4.135343094007112,0.47667651606025174,394039296,404750336
ettm1_A5_s81501_lr0.0001,ettm1,A5,81501,0.0001,COMPLETE,1024,39.894499901798554,4.2537940260372125,0.47243048291420564,394105856,404750336
electricity_A0_s81500_lr0.0003,electricity,A0,81500,0.0003,COMPLETE,1024,38.084369637363125,3.853260312927887,0.4469109270721674,388404736,402653184
electricity_A0_s81502_lr0.0001,electricity,A0,81502,0.0001,COMPLETE,1024,38.56819354783511,3.932757717964705,0.46590936684515327,388863488,402653184
ettm1_A3_s81500_lr0.0001,ettm1,A3,81500,0.0001,COMPLETE,1024,38.99453697307035,4.216027032060083,0.46444819623138756,388929024,402653184
ettm1_A4_s81500_lr0.0003,ettm1,A4,81500,0.0003,COMPLETE,1024,39.81916280841688,4.161506096017547,0.47629367315676063,394039296,404750336
electricity_A5_s81501_lr0.0001,electricity,A5,81501,0.0001,COMPLETE,1024,39.884233964956366,4.248301954939961,0.47408635588362813,394105856,404750336
ettm1_A2_s81502_lr0.0003,ettm1,A2,81502,0.0003,COMPLETE,1024,38.50414742261637,4.070708270999603,0.45773869095137343,388929024,402653184
ettm1_A2_s81500_lr0.0001,ettm1,A2,81500,0.0001,COMPLETE,1024,35.40959304117132,3.741607863106765,0.41422296565724537,388929024,402653184
ettm1_A0_s81502_lr0.0001,ettm1,A0,81502,0.0001,COMPLETE,1024,38.20022531226277,3.9272132338956,0.45824193384032696,388863488,402653184
electricity_A3_s81500_lr0.0003,electricity,A3,81500,0.0003,COMPLETE,1024,38.999900907918345,4.151426848897245,0.4524201959720813,388929024,402653184
ettm1_A0_s81500_lr0.0001,ettm1,A0,81500,0.0001,COMPLETE,1024,35.26998257811647,3.627077993063722,0.41524761606706306,388863488,402653184
ettm1_A4_s81501_lr0.0001,ettm1,A4,81501,0.0001,COMPLETE,1024,39.774163239926565,4.144859055988491,0.47728400788037106,394039296,404750336
electricity_A1_s81500_lr0.0001,electricity,A1,81500,0.0001,COMPLETE,1024,38.001190002425574,3.896404525032267,0.4688402310712263,388863488,402653184
electricity_A0_s81501_lr0.0001,electricity,A0,81501,0.0001,COMPLETE,1024,37.94277977547608,3.9311858289293014,0.45920431602280587,388863488,402653184
ettm1_A1_s81500_lr0.0003,ettm1,A1,81500,0.0003,COMPLETE,1024,35.117102631600574,3.6371542959241197,0.41487268096534535,388863488,402653184
ettm1_A1_s81500_lr0.0001,ettm1,A1,81500,0.0001,COMPLETE,1024,34.87824800470844,3.6346725430339575,0.41240769281284884,388863488,402653184
electricity_A1_s81502_lr0.0001,electricity,A1,81502,0.0001,COMPLETE,1024,38.27531993435696,3.973540392005816,0.4624335051048547,388863488,402653184
electricity_A4_s81500_lr0.0003,electricity,A4,81500,0.0003,COMPLETE,1024,39.33138943137601,4.12897640891606,0.473357058071997,394039296,404750336
ettm1_A3_s81501_lr0.0001,ettm1,A3,81501,0.0001,COMPLETE,1024,37.46477889583912,4.036617295991164,0.437015323783271,388929024,402653184
ettm1_A4_s81502_lr0.0001,ettm1,A4,81502,0.0001,COMPLETE,1024,39.77282764745178,4.143150453979615,0.48690742696635425,394039296,404750336
ettm1_A1_s81501_lr0.0001,ettm1,A1,81501,0.0001,COMPLETE,1024,38.69642869953532,3.9195481460774317,0.46209363819798455,388863488,402653184
electricity_A5_s81502_lr0.0001,electricity,A5,81502,0.0001,COMPLETE,1024,40.02809136878932,4.2312936339876615,0.47997776203555986,394105856,404750336
electricity_A2_s81501_lr0.0001,electricity,A2,81501,0.0001,COMPLETE,1024,38.70064432400977,4.076311245036777,0.4556013772962615,388929024,402653184
electricity_A5_s81500_lr0.0001,electricity,A5,81500,0.0001,COMPLETE,1024,40.02938886376796,4.22247718507424,0.491273834311869,394105856,404750336
ettm1_A3_s81500_lr0.0003,ettm1,A3,81500,0.0003,COMPLETE,1024,38.844507389876526,4.158194935997017,0.4651641990058124,388929024,402653184
electricity_A5_s81500_lr0.0003,electricity,A5,81500,0.0003,COMPLETE,1024,37.843456735194195,4.073687680996954,0.4437717659166083,394105856,404750336
ettm1_A4_s81500_lr0.0001,ettm1,A4,81500,0.0001,COMPLETE,1024,39.91972019511741,4.1624796179821715,0.4763626268832013,394039296,404750336
electricity_A1_s81501_lr0.0001,electricity,A1,81501,0.0001,COMPLETE,1024,38.53787832183298,3.9363109670812264,0.46528510987991467,388863488,402653184
