source,arm,seed,lr,step,objective
ettm1,A0,81500,0.0003,256,0.39034059834677204
electricity,A2,81500,0.0001,1024,0.2071868885408114
electricity,A4,81500,0.0001,1024,0.20703997578544717
ettm1,A3,81502,0.0001,768,0.39520081808580776
ettm1,A2,81500,0.0003,512,0.3884955982213942
ettm1,A1,81502,0.0001,768,0.38497242162480716
electricity,A4,81502,0.0001,1024,0.20788889271064798
electricity,A3,81500,0.0001,1024,0.23384039585394265
electricity,A2,81502,0.0001,1024,0.20798107379335373
electricity,A3,81501,0.0003,1024,0.23128430861443908
ettm1,A2,81501,0.0003,256,0.38970109120381197
ettm1,A5,81502,0.0001,512,0.38881591595683296
ettm1,A0,81501,0.0001,512,0.387009190914801
electricity,A4,81501,0.0001,1024,0.2074799225547626
ettm1,A5,81501,0.0001,512,0.38924185628811264
electricity,A0,81500,0.0003,768,0.21057199376259172
electricity,A0,81502,0.0001,1024,0.20673749283645848
ettm1,A3,81500,0.0001,512,0.3945594084528383
ettm1,A4,81500,0.0003,256,0.3895562723666475
electricity,A5,81501,0.0001,1024,0.20817681716608635
ettm1,A2,81502,0.0003,256,0.3888277296996475
ettm1,A2,81500,0.0001,512,0.38851825769296
ettm1,A0,81502,0.0001,512,0.38808648159338344
electricity,A3,81500,0.0003,1024,0.23383388916931963
ettm1,A0,81500,0.0001,512,0.38698524042587457
ettm1,A4,81501,0.0001,512,0.3891878897452735
electricity,A1,81500,0.0001,1024,0.20473345045080163
electricity,A0,81501,0.0001,1024,0.20608463445251057
ettm1,A1,81500,0.0003,512,0.3851070567177237
ettm1,A1,81500,0.0001,768,0.3827532232606956
electricity,A1,81502,0.0001,1024,0.20582082010896496
electricity,A4,81500,0.0003,1024,0.2121549862020034
ettm1,A3,81501,0.0001,768,0.3947299159923372
ettm1,A4,81502,0.0001,512,0.3887926967659612
ettm1,A1,81501,0.0001,768,0.38489340703395236
electricity,A5,81502,0.0001,1024,0.20870605504174958
electricity,A2,81501,0.0001,1024,0.20759405047851398
electricity,A5,81500,0.0001,1024,0.20750479888897627
ettm1,A3,81500,0.0003,256,0.40027400365959376
electricity,A5,81500,0.0003,256,0.21367907046145335
ettm1,A4,81500,0.0001,512,0.38839942202007793
electricity,A1,81501,0.0001,1024,0.2049537428074471
electricity,A3,81502,0.0003,1024,0.23075857247351356
electricity,A1,81500,0.0003,1024,0.20936549356480816
ettm1,A5,81500,0.0003,256,0.3892595885535422
electricity,A2,81500,0.0003,1024,0.21209218179184525
electricity,A0,81500,0.0001,1024,0.2060688887436639
ettm1,A5,81500,0.0001,512,0.38840149974450133
