key,candidate,phase,seed,steps,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes
h1_dev_169_BLOCK_A_s92251,h1,main,92251,32,1.5404306999989785,288,653001728,717225984
h1_dev_169_BLOCK_A_s92252,h1,main,92252,32,1.4147632000094745,288,654181376,719323136
h1_dev_169_BLOCK_B_s92251,h1,main,92251,32,1.3951847999996971,288,653001728,717225984
h1_dev_169_BLOCK_B_s92252,h1,main,92252,32,1.4085269999923185,288,654181376,719323136
h1_dev_169_LOCAL_LORA_s92251,h1,main,92251,64,3.1243244000070263,294912,654990336,721420288
h1_dev_169_LOCAL_LORA_s92252,h1,main,92252,64,3.113501100015128,294912,656169984,723517440
h1_dev_169_RIDGE_s92251,h1,main,92251,64,2.9652901999943424,288,653003264,717225984
h1_dev_169_RIDGE_s92252,h1,main,92252,64,2.8227978000068106,288,654182912,719323136
h1_dev_171_BLOCK_A_s92251,h1,main,92251,32,1.4259292999922764,288,653001728,721420288
h1_dev_171_BLOCK_A_s92252,h1,main,92252,32,1.417741000012029,288,654181376,723517440
h1_dev_171_BLOCK_B_s92251,h1,main,92251,32,1.4071351999882609,288,653001728,721420288
h1_dev_171_BLOCK_B_s92252,h1,main,92252,32,1.420265399996424,288,654181376,723517440
h1_dev_171_LOCAL_LORA_s92251,h1,main,92251,64,3.09858940000413,294912,654990336,721420288
h1_dev_171_LOCAL_LORA_s92252,h1,main,92252,64,3.1117419000074733,294912,656169984,723517440
h1_dev_171_RIDGE_s92251,h1,main,92251,64,2.7808773999859113,288,653003264,721420288
h1_dev_171_RIDGE_s92252,h1,main,92252,64,2.80642340000486,288,654182912,723517440
h1_dev_207_BLOCK_A_s92251,h1,main,92251,32,1.4249643000075594,288,653001728,721420288
h1_dev_207_BLOCK_A_s92252,h1,main,92252,32,1.3968383000174072,288,654181376,723517440
h1_dev_207_BLOCK_B_s92251,h1,main,92251,32,1.4021613000077195,288,653001728,721420288
h1_dev_207_BLOCK_B_s92252,h1,main,92252,32,1.4091438000032213,288,654181376,723517440
h1_dev_207_LOCAL_LORA_s92251,h1,main,92251,64,3.1512209000065923,294912,654990336,721420288
h1_dev_207_LOCAL_LORA_s92252,h1,main,92252,64,3.1349770999804605,294912,656169984,723517440
h1_dev_207_RIDGE_s92251,h1,main,92251,64,2.820345099986298,288,653003264,721420288
h1_dev_207_RIDGE_s92252,h1,main,92252,64,2.802662300004158,288,654182912,723517440
h1_dev_211_BLOCK_A_s92251,h1,main,92251,32,1.4691570999857504,288,653001728,721420288
h1_dev_211_BLOCK_A_s92252,h1,main,92252,32,1.40587799999048,288,654181376,723517440
h1_dev_211_BLOCK_B_s92251,h1,main,92251,32,1.4265810999786481,288,653001728,721420288
h1_dev_211_BLOCK_B_s92252,h1,main,92252,32,1.4401777999883052,288,654181376,723517440
h1_dev_211_LOCAL_LORA_s92251,h1,main,92251,64,3.134934900008375,294912,654990336,721420288
h1_dev_211_LOCAL_LORA_s92252,h1,main,92252,64,3.1396985000174027,294912,656169984,723517440
h1_dev_211_RIDGE_s92251,h1,main,92251,64,2.799652799993055,288,653003264,721420288
h1_dev_211_RIDGE_s92252,h1,main,92252,64,2.8067493999842554,288,654182912,723517440
h1_eval_141_BLOCK_A_s92251,h1,main,92251,32,1.4067727999936324,288,654181376,731906048
h1_eval_141_BLOCK_A_s92252,h1,main,92252,32,1.4035013999964576,288,654181376,731906048
h1_eval_141_BLOCK_B_s92251,h1,main,92251,32,1.4029076999868266,288,654181376,731906048
h1_eval_141_BLOCK_B_s92252,h1,main,92252,32,1.438142400002107,288,654181376,731906048
h1_eval_141_LOCAL_LORA_s92251,h1,main,92251,64,3.133614399994258,294912,656169984,734003200
h1_eval_141_LOCAL_LORA_s92252,h1,main,92252,64,3.204045699996641,294912,656169984,734003200
h1_eval_141_RIDGE_s92251,h1,main,92251,64,2.8555992000037804,288,654182912,731906048
h1_eval_141_RIDGE_s92252,h1,main,92252,64,2.8543654000095557,288,654182912,731906048
h1_eval_145_BLOCK_A_s92251,h1,main,92251,32,1.392779400019208,288,654181376,731906048
h1_eval_145_BLOCK_A_s92252,h1,main,92252,32,1.4400747000181582,288,654181376,731906048
h1_eval_145_BLOCK_B_s92251,h1,main,92251,32,1.3954994000087027,288,654181376,731906048
h1_eval_145_BLOCK_B_s92252,h1,main,92252,32,1.4506465999875218,288,654181376,731906048
h1_eval_145_LOCAL_LORA_s92251,h1,main,92251,64,3.1798622999922372,294912,656169984,731906048
h1_eval_145_LOCAL_LORA_s92252,h1,main,92252,64,3.1409381999983452,294912,656169984,731906048
h1_eval_145_RIDGE_s92251,h1,main,92251,64,2.8417723000166006,288,654182912,731906048
h1_eval_145_RIDGE_s92252,h1,main,92252,64,2.867814500001259,288,654182912,731906048
h1_eval_160_BLOCK_A_s92251,h1,main,92251,32,1.4288037000223994,288,653001728,729808896
h1_eval_160_BLOCK_A_s92252,h1,main,92252,32,1.42470420000609,288,653001728,729808896
h1_eval_160_BLOCK_B_s92251,h1,main,92251,32,1.4119955000060145,288,653001728,729808896
h1_eval_160_BLOCK_B_s92252,h1,main,92252,32,1.489417200005846,288,653001728,729808896
h1_eval_160_LOCAL_LORA_s92251,h1,main,92251,64,3.5454425000061747,294912,656169984,731906048
