candidate,arm,fits,updates,fit_seconds,median_seconds_per_update,trainable_parameters
h1,BLOCK_A,24,768,34.15171290008584,0.04423814375013535,288
h1,BLOCK_B,24,768,34.14420980005525,0.04433328281311333,288
h1,LOCAL_LORA,24,1536,76.07885409996379,0.04906747421887303,294912
h1,RIDGE,24,1536,68.9342001999903,0.04471416953128937,288
h1,SHARED,2,512,24.901186200033408,0.04863512929694025,294912
h2,CENTROID_BIAS,2,512,14.321624300006079,0.027971922460949372,24
h2,GENERIC_BIAS,2,512,14.208860500017181,0.027751680664096057,24
h2,KEY_BIAS,2,512,14.304779199999757,0.027939021874999526,24
h2,QV_LORA,2,512,25.71360019998974,0.050221875390604964,294912
h2,SET_BIAS,2,512,15.430414200032828,0.030137527734439118,24
