stage,timing_use,cpu_export_seconds,gradient_norm,loss,nvml_end_used_mib,nvml_start_used_mib,peak_allocated,peak_reserved,physical_free_mib,precision,process_nvml_mib,seconds,start_allocated,start_reserved,tag
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,3.0487992763519287,2.611562728881836,2622,1364,1910092800,1954545664,7232,bf16,2190,0.2216593949997332,516196864,671088640,warm_ettm2_standard_0
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.4242424964904785,3.263904571533203,2632,2622,1914336256,1965031424,7222,bf16,2200,0.137296068991418,563907072,1954545664,warm_ettm2_standard_1
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,5.270772457122803,2.611562728881836,1588,1486,786427904,870318080,8266,bf16,1156,0.09120549299404956,549751296,763363328,warm_ettm2_side_0
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,11.180484771728516,3.4586291313171387,1598,1588,795865088,880803840,8255,bf16,1166,0.0793966939963866,563907072,870318080,warm_ettm2_side_1
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.241991400718689,2.6114742755889893,1716,1560,978077696,1004535808,8138,bf16,1284,0.1408636169944657,549751296,840957952,warm_ettm2_query_0
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.8005952835083008,3.2699599266052246,1724,1716,997525504,1012924416,8130,bf16,1292,0.140930384004605,563907072,1004535808,warm_ettm2_query_1
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.254266738891602,4.079526424407959,2622,1430,1910092800,1954545664,7231,bf16,2190,0.1412860699929297,549751296,704643072,warm_electricity_standard_0
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.689946174621582,1.5543935298919678,2632,2622,1914336256,1965031424,7221,bf16,2200,0.13936907799507026,563907072,1954545664,warm_electricity_standard_1
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.4152724742889404,4.079526424407959,1588,1486,786427904,870318080,8266,bf16,1156,0.0859692710073432,549751296,763363328,warm_electricity_side_0
shared_state_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,11.213146209716797,1.828255534172058,1598,1588,795865088,880803840,8256,bf16,1166,0.081850033995579,563907072,870318080,warm_electricity_side_1
