role,arm,seed,tick_start,tick_end,pinball
TEST,STATIC,92401,0,15,0.1767295374592682
TEST,STATIC,92401,16,31,0.18737910089462834
TEST,STATIC,92401,32,47,0.25949191231816293
TEST,STATIC,92402,0,15,0.1751292283974163
TEST,STATIC,92402,16,31,0.18655642943872663
TEST,STATIC,92402,32,47,0.25781049736439354
TEST,B_FULLGEN,92401,0,15,0.1767295374592682
TEST,B_FULLGEN,92401,16,31,0.18737910089462834
TEST,B_FULLGEN,92401,32,47,0.25949191231816293
TEST,B_FULLGEN,92402,0,15,0.1751292283974163
TEST,B_FULLGEN,92402,16,31,0.18655642943872663
TEST,B_FULLGEN,92402,32,47,0.25781049736439354
TEST,B_SET,92401,0,15,0.1767295374592682
TEST,B_SET,92401,16,31,0.18737910089462834
TEST,B_SET,92401,32,47,0.25949191231816293
TEST,B_SET,92402,0,15,0.1751292283974163
TEST,B_SET,92402,16,31,0.18655642943872663
TEST,B_SET,92402,32,47,0.25781049736439354
TEST,B_TIME,92401,0,15,0.1767295374592682
TEST,B_TIME,92401,16,31,0.18737910089462834
TEST,B_TIME,92401,32,47,0.25949191231816293
TEST,B_TIME,92402,0,15,0.1751292283974163
TEST,B_TIME,92402,16,31,0.18655642943872663
TEST,B_TIME,92402,32,47,0.25781049736439354
TEST,G0,92401,0,15,0.1767295374592682
TEST,G0,92401,16,31,0.18737910089462834
TEST,G0,92401,32,47,0.25949191231816293
TEST,G0,92402,0,15,0.1751292283974163
TEST,G0,92402,16,31,0.18655642943872663
TEST,G0,92402,32,47,0.25781049736439354
TEST,STATIC_LONG320,92401,0,15,0.16703865341115226
TEST,STATIC_LONG320,92401,16,31,0.18389602463387297
TEST,STATIC_LONG320,92401,32,47,0.2595938359881343
TEST,STATIC_LONG320,92402,0,15,0.16628626966823565
TEST,STATIC_LONG320,92402,16,31,0.18342402796114582
TEST,STATIC_LONG320,92402,32,47,0.25783790415471025
TEST,B_AFFINE,92401,0,15,0.18784853966450799
TEST,B_AFFINE,92401,16,31,0.20727170752213636
TEST,B_AFFINE,92401,32,47,0.28069755312727657
TEST,B_AFFINE,92402,0,15,0.18609701825808342
TEST,B_AFFINE,92402,16,31,0.20641066895157073
TEST,B_AFFINE,92402,32,47,0.2812265338885156
TEST,B_WAIT,92401,0,15,0.17649297768901867
TEST,B_WAIT,92401,16,31,0.19230627711216397
TEST,B_WAIT,92401,32,47,0.2571839566651446
TEST,B_WAIT,92402,0,15,0.17565586671784228
TEST,B_WAIT,92402,16,31,0.19105932765683886
TEST,B_WAIT,92402,32,47,0.25676277869459474
TEST,B_MASKED,92401,0,15,0.1729699258031744
TEST,B_MASKED,92401,16,31,0.1912978293588684
TEST,B_MASKED,92401,32,47,0.25812659468942956
TEST,B_MASKED,92402,0,15,0.1726716467238099
TEST,B_MASKED,92402,16,31,0.1901790294426086
TEST,B_MASKED,92402,32,47,0.2581588896590101
TEST,B_COEFF,92401,0,15,0.17672641347412418
TEST,B_COEFF,92401,16,31,0.18737656560632587
TEST,B_COEFF,92401,32,47,0.25948575137792207
TEST,B_COEFF,92402,0,15,0.17512668623012526
TEST,B_COEFF,92402,16,31,0.18655477757330885
TEST,B_COEFF,92402,32,47,0.257806955118733
TEST,B_COSA_CELL,92401,0,15,0.17427502631812627
TEST,B_COSA_CELL,92401,16,31,0.19011550553544437
TEST,B_COSA_CELL,92401,32,47,0.25680496633768957
TEST,B_COSA_CELL,92402,0,15,0.17357049238331204
TEST,B_COSA_CELL,92402,16,31,0.18918294980701883
TEST,B_COSA_CELL,92402,32,47,0.25599378205547274
