source,method,variant,batch_size,wall_ms,peak_MiB,loading_ms
ETTh1,CHRONOS2_DIRECT,affine,1,19.7152000037021,522.841796875,342.3239999974612
ETTh1,CHRONOS2_DIRECT,affine,8,22.9199999885167,537.638671875,342.3239999974612
ETTh1,CHRONOS2_DIRECT,ordered,1,20.000499993329797,522.841796875,342.3239999974612
ETTh1,CHRONOS2_DIRECT,ordered,8,22.965299984207302,537.638671875,342.3239999974612
ETTh1,F0_MEDIAN,affine,1,53.74319999828,248.4970703125,174.6297000208869
ETTh1,F0_MEDIAN,affine,8,56.7988000111654,258.7119140625,174.6297000208869
ETTh1,F0_MEDIAN,ordered,1,53.3196999749634,248.4970703125,174.6297000208869
ETTh1,F0_MEDIAN,ordered,8,54.538099997444,258.7119140625,174.6297000208869
ETTh1,F0_NATIVE,affine,1,55.1454999949783,260.02587890625,175.5660999915562
ETTh1,F0_NATIVE,affine,8,79.9153999832924,350.95068359375,175.5660999915562
ETTh1,F0_NATIVE,ordered,1,54.6881000045686,260.02587890625,175.5660999915562
ETTh1,F0_NATIVE,ordered,8,80.5664999934379,350.95068359375,175.5660999915562
ETTh1,R_MC16,affine,1,74.10549999622155,273.24072265625,222.1253999887267
ETTh1,R_MC16,affine,8,161.49855002004185,341.3037109375,222.1253999887267
ETTh1,R_MC16,ordered,1,75.12004999443886,273.24072265625,222.1253999887267
ETTh1,R_MC16,ordered,8,160.760200000368,341.3037109375,222.1253999887267
ETTh1,R_NATIVE,affine,1,69.69294999726111,261.15087890625,220.09989999060048
ETTh1,R_NATIVE,affine,8,93.32580001500901,352.07568359375,220.09989999060048
ETTh1,R_NATIVE,ordered,1,69.9265499861212,261.15087890625,220.09989999060048
ETTh1,R_NATIVE,ordered,8,93.37935000075956,352.07568359375,220.09989999060048
ETTh1,R_ROLLOUT_LORA,affine,1,69.32890000462059,249.6220703125,235.94775001402007
ETTh1,R_ROLLOUT_LORA,affine,8,69.59160001133566,259.8369140625,235.94775001402007
ETTh1,R_ROLLOUT_LORA,ordered,1,69.456800003536,249.6220703125,235.94775001402007
ETTh1,R_ROLLOUT_LORA,ordered,8,70.64779999200249,259.8369140625,235.94775001402007
