figure,panel,series,x,y,unit,source_file
fig1_s1_condition_gap,main,F0|phi0.5_gauss_goff|median,-0.19,0.02012235325135181,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_goff|q25,-0.19,-0.01820236164921557,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_goff|q75,-0.19,0.09671987303712964,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_goff|n_series,-0.19,40.0,x=condition index; y=series count,S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_gon|median,0.81,0.10753548637827426,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_gon|q25,0.81,0.03735426476225445,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_gon|q75,0.81,0.17424940435295416,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_gauss_gon|n_series,0.81,40.0,x=condition index; y=series count,S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_goff|median,1.81,0.01916071868962399,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_goff|q25,1.81,-0.05282656592971702,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_goff|q75,1.81,0.12264107938080054,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_goff|n_series,1.81,40.0,x=condition index; y=series count,S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_gon|median,2.81,0.08660762088586216,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_gon|q25,2.81,0.016012093175398923,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_gon|q75,2.81,0.1818246708829644,x=condition index; y=gap ratio (dimensionless),S1_SCORES.csv + S1_DIFFICULTY.csv
fig1_s1_condition_gap,main,F0|phi0.5_t6_gon|n_series,2.81,40.0,x=condition index; y=series count,S1_SCORES.csv + S1_DIFFICULTY.csv
