symbol,n_train,n_first,n_second,ar_order,xi,theta,threshold,n_exceedances,se,se_resid,kurtosis,xi_first,xi_second,theta_first,theta_second,se_first,se_second
AAPL,3020,1510,1510,0,0.08824243915534766,0.5705024168280509,3.0617111011143847,151,0.94202594199016,0.94202594199016,5.658537313932335,0.22024349078754882,0.38463366922271436,0.592187677941009,0.7341724777120664,0.9321041850894113,0.9324836726744895
ABT,3020,1510,1510,0,0.388754501836227,0.5623335198656967,2.931579898176528,151,0.9417614418387098,0.9417614418387098,6.346563596289991,0.3991305880203791,0.4899947843139468,0.5196884242096055,0.5480189916221551,0.9331844068187366,0.9382536393868758
ACN,3020,1510,1510,0,0.15549798207046964,0.603920606635656,3.0552904260368905,151,0.9455323242165575,0.9455323242165575,8.239823777554243,0.1601922468460974,0.3428697438724524,0.5478983369197891,0.7989704688190611,0.940895289484439,0.9419745741635569
ADBE,3020,1510,1510,0,0.22840680772910482,0.4957689616433959,3.1409596694032342,151,0.9404170265427654,0.9404170265427654,8.69370524897243,0.19303771859391045,0.12339466217809641,0.4782916912032753,0.8271539228793956,0.9314767291061529,0.9400303715601989
AMAT,3020,1510,1510,0,0.19839301100327933,0.6160535497949653,2.9483831035482524,151,0.9430026988165726,0.9430026988165726,4.388138555941641,0.1439862202283058,0.05423787100992575,0.4754490263710994,0.8042569365260357,0.9313561430751413,0.9340988773675142
AMD,3020,1510,1510,0,0.10496876150340989,0.5728017303736322,3.0557275024712434,151,0.938544093027554,0.938544093027554,10.371997538540663,0.12206579678333122,0.2865875697717577,0.49566353318014067,0.763558071908641,0.9330607875900097,0.935739542853907
AMGN,3020,1510,1510,0,0.07975951973948917,0.609747004700811,2.7564791865421125,151,0.9440324235513615,0.9440324235513615,7.894500680417197,0.012214386817156605,0.06462288198228255,0.5841131212310252,0.7274858620132493,0.9425800463252813,0.9377770265488784
AMT,3020,1510,1510,0,0.05670174284619686,0.457616861471675,3.0401507515110264,151,0.9412132716652426,0.9412132716652426,9.165951987971594,-0.001094090935472178,0.20305962946701822,0.4437609689134477,0.46447477208473015,0.9396365622492596,0.9289606449267129
AMZN,3020,1510,1510,0,0.31366272553873586,0.45928443465366053,2.8463652158054593,151,0.9437406611291433,0.943740661129143,14.573270369503252,0.39911322128747173,0.21990151754703602,0.5430932990723281,0.6644311668884424,0.9318246791516633,0.93104255948021
AXP,3020,1510,1510,0,0.20474612836901218,0.2993798790093525,3.9541310747989025,151,0.9435963520459155,0.9435963520459155,12.519176766133524,0.14548419324097045,0.2626960421570723,0.6747621302522335,0.7941674136679899,0.9394196077455786,0.9447993988940706
BA,3020,1510,1510,0,-0.15248049735984187,0.45848816362372397,3.0379662998308254,151,0.9421303172673046,0.9421303172673046,4.944828051807515,-0.34033919177194893,0.11148425159826507,0.5415065443425077,0.813003712759214,0.9369330925278966,0.9375108353952376
BAC,3020,1510,1510,0,0.3710048772720612,0.3134472315039441,4.01190436186101,151,0.9388518047208806,0.9388518047208806,22.8037055358433,0.2047419599900076,0.19781328934310652,0.28638523866827115,0.33279567645038965,0.938843670003162,0.9401455756413684
BKNG,3020,1510,1510,0,0.15029133007337092,0.6134479097857884,3.040883473400621,151,0.9416439420656514,0.9416439420656516,12.245162555941672,0.05490796325234795,0.3132269784516193,0.4853515860479668,0.745676301703163,0.9321113986293315,0.9371735655736407
BLK,3020,1510,1510,0,0.12655655019487838,0.3673359301005463,3.29179885698883,151,0.9457740543117661,0.945774054311766,8.045853758132269,0.18776600265507493,0.1768136312981346,0.29565538800306707,0.6261126849228832,0.9407054245827898,0.940763114485999
BMY,3020,1510,1510,0,0.324756802351315,0.5206142455382728,2.9709704632370326,151,0.939053861665048,0.939053861665048,10.362411092618018,-0.09422713292307366,0.4496103452543817,0.43753458392664285,0.6936446860651813,0.9375378336090822,0.936876318541363
BNY,3020,1510,1510,0,0.32946505500362955,0.30838853478437794,3.702798516077181,151,0.9417597466154419,0.9417597466154419,21.820417690311753,0.3223833505280294,0.08148962498548615,0.196439801910535,0.5407570598838374,0.9334770467263358,0.9394095371944963
BRK.B,3020,1510,1510,0,0.17537029748744204,0.38055864734152806,3.1126787162970824,151,0.9378325686147148,0.9378325686147145,16.386401462950605,0.007017516117992687,0.1795225706218592,0.15610059064083232,0.5849050457669631,0.9346458466300855,0.9353915060407242
C,3020,1510,1510,0,0.5162772402151188,0.18140482319869802,4.598498224858624,151,0.9454495658544751,0.9454495658544751,36.468100020113646,0.4695557925409677,0.17864218859202327,0.6058010592519033,0.45087535070140283,0.9359754122968643,0.942368701979316
CAT,3020,1510,1510,0,0.0342005179024079,0.6071635542204298,3.2278338849024797,151,0.9418701713406726,0.9418701713406727,5.78842132704084,0.1121506201891262,0.03432197322882061,0.46623011885141563,0.7249168870223467,0.9345374275294472,0.9374090284785027
