source,arm,seed,steps,selected,prep_seconds,model_load_seconds,fit_wall_seconds,peak_allocated,peak_reserved,trainable_parameters,adaptation_seconds512
Electricity,PCA,92341,512,512,0.6290026000060607,0.23453789998893626,26.239636500016786,287545344,312475648,294912,24.826579499756917
Electricity,PCA,92342,512,512,0.6291556999785826,0.21394270000746474,26.630831099988427,287545344,312475648,294912,25.175444699969376
Electricity,RANDOM,92341,512,512,5.110001075081527e-05,0.35236520000034943,26.211126100010006,287086592,312475648,294912,24.025010199547978
Electricity,RANDOM,92342,512,512,5.729999975301325e-05,0.2647751000185963,31.543961199990008,287545344,312475648,294912,28.910087400174234
Electricity,SHUFFLE,92341,512,512,0.7213175999931991,0.23242210000171326,25.821553799993126,287545344,312475648,294912,24.50759609992383
Electricity,SHUFFLE,92342,512,512,0.7204150999896228,0.19654050000826828,25.733683600003133,287545344,312475648,294912,24.478810999979032
Electricity,TEMP,92341,512,512,0.7094298000156414,0.19552849998581223,25.617846100009046,287545344,312475648,294912,24.34903420016053
Electricity,TEMP,92342,512,512,0.7101252999855205,0.22195979999378324,25.7960299999977,287545344,312475648,294912,24.456784199515823
ETTh1,PCA,92341,512,512,0.43594759999541566,0.32952619998832233,28.88509869997506,287545344,320864256,294912,27.700451399898157
ETTh1,PCA,92342,512,512,0.43524590000743046,0.203678799996851,25.65374070001417,287545344,320864256,294912,24.730080399429426
ETTh1,RANDOM,92341,512,512,4.8699992476031184e-05,0.3293630999978632,56.86755970001104,287545344,320864256,294912,54.462268300529104
ETTh1,RANDOM,92342,512,512,3.510000533424318e-05,0.20495879999361932,25.423128800000995,287545344,320864256,294912,24.059723499667598
ETTh1,SHUFFLE,92341,512,512,0.5349853000079747,0.18488099999376573,25.182070000009844,287545344,320864256,294912,24.40331069988315
ETTh1,SHUFFLE,92342,512,512,0.5352461999864317,0.24722019999171607,26.03345069999341,287545344,320864256,294912,25.188821999821812
ETTh1,TEMP,92341,512,512,0.517798099986976,0.24352160000125878,25.39798320000409,287545344,318767104,294912,24.573356399603654
ETTh1,TEMP,92342,512,512,0.5090976000064984,0.18860749999294057,25.534941899997648,287545344,318767104,294912,24.604155900218757
