dataset,source,budget,seed,arm,checkpoint_id,alpha,S_loss,D_loss,S_gain_vs_f0_percent,D_gain_vs_f0_percent
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,0.25,0.21986373347908794,0.23104618042787317,1.6523163202496995,1.1693320946307324
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,0.5,0.2172511037772386,0.22975256728364613,2.820976905712912,1.722678836041309
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,0.75,0.21572406797010374,0.2298598535094722,3.5040383281281575,1.6767868445104372
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,1.0,0.2153266673738801,0.23138308493254983,3.6818003787997147,1.0252202241992006
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,0.25,0.22024424799263193,0.23160830316952752,1.4821076167886662,0.9288824758592187
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,0.5,0.21763975488682405,0.2302773406834247,2.647128605302201,1.4982055056315957
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,0.75,0.21573953701241383,0.22976794742367312,3.4971188400622184,1.7160999369288825
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,1.0,0.2145680276697837,0.2300735372132541,4.021149012904795,1.5853830259052113
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,0.25,0.22011396673601985,0.2324701776759148,1.5403839846640592,0.5602131779763391
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,0.5,0.21735410405866676,0.23214399679199638,2.774903645077663,0.6997379887995356
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,0.75,0.21526531464803908,0.2327516753021922,3.70924418855598,0.4398017590675664
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,1.0,0.21393042774448073,0.2342798160749428,4.306355102948255,-0.2138648496800104
beijing_32,beijing,32,34001,native_anchor,beijing_32_34001_native_anchor_1_step150,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_32,beijing,32,34001,native_anchor,beijing_32_34001_native_anchor_1_step150,0.25,0.2179971890947724,0.23168671985596972,2.4872439992174544,0.8953395127959166
beijing_32,beijing,32,34001,native_anchor,beijing_32_34001_native_anchor_1_step150,0.5,0.2144567127749702,0.23320524419922484,4.070941499781691,0.245786359411002
beijing_32,beijing,32,34001,native_anchor,beijing_32_34001_native_anchor_1_step150,0.75,0.2130408192612392,0.23842420927125835,4.7042876419996915,-1.9866409539887249
beijing_32,beijing,32,34001,native_anchor,beijing_32_34001_native_anchor_1_step150,1.0,0.21390996025019934,0.2475810007316313,4.315510458501675,-5.903484825733018
beijing_233,beijing,233,34000,native,beijing_233_34000_native_1_step450,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_233,beijing,233,34000,native,beijing_233_34000_native_1_step450,0.25,0.2091083586035839,0.22676742161402008,6.463324435937016,2.9995834781245905
beijing_233,beijing,233,34000,native,beijing_233_34000_native_1_step450,0.5,0.19798741566221242,0.22342451247186362,11.437855529863798,4.429522474105633
