config,arm,train_episodes,validation_episode,alpha,MAE_K,train_rows,validation_origins,n_features
ZONE_120M,CURRENT_PLAN,0,1,0.01,0.19990271472829532,20,20,70
ZONE_120M,CURRENT_PLAN,0,1,0.1,0.2183417139870772,20,20,70
ZONE_120M,CURRENT_PLAN,0,1,1.0,0.2593073999366407,20,20,70
ZONE_120M,CURRENT_PLAN,0,1,10.0,0.32578465456445566,20,20,70
ZONE_120M,CURRENT_PLAN,0,1,100.0,1.160355251131332,20,20,70
ZONE_120M,CURRENT_PLAN,0,1,1000.0,2.778152536782835,20,20,70
ZONE_120M,CURRENT_PLAN,0,1,10000.0,3.2791634884915717,20,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,0.01,0.3507343093858643,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,0.1,0.2752514942626559,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,1.0,0.15123901128955713,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,10.0,0.2540861142074417,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,100.0,0.2772654647109925,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,1000.0,0.2879693862570518,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1",2,10000.0,0.4296512384363252,40,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,0.01,0.21201317316838864,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,0.1,0.22329837715575565,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,1.0,0.25545361387574217,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,10.0,0.33156591684911885,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,100.0,0.6011376155285192,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,1000.0,2.0979096882117214,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2",3,10000.0,3.3676727055716547,60,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,0.01,0.15133449511266003,80,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,0.1,0.15513207516947153,80,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,1.0,0.16515836564636502,80,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,10.0,0.1682163606798235,80,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,100.0,0.21700735818955022,80,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,1000.0,0.6015326305887887,80,20,70
ZONE_120M,CURRENT_PLAN,"0,1,2,3",4,10000.0,0.5194388096214009,80,20,70
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,0.01,0.9022444465497522,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,0.1,0.8905752517046996,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,1.0,1.0114847434352083,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,10.0,1.2496102270221303,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,100.0,1.7621018121195846,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,1000.0,2.8291376360192495,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,0,1,10000.0,3.2794159376062004,20,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,"0,1",2,0.01,0.45376183096806233,40,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,"0,1",2,0.1,0.29646182881217553,40,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,"0,1",2,1.0,0.2012642299469333,40,20,87
ZONE_120M,HISTORY_SUMMARY_PLAN,"0,1",2,10.0,0.1865440481553803,40,20,87
